"grade","subject","model_year","pred_year","max_controls","alpha","prop_treatment","sample_prop","seed","n_cores","n_raw_schools_model_year","n_raw_schools_pred_year","n_schools_model_year","n_treatment_schools_pred_year","n_control_schools_pred_year","caliper","n_treatment_schools_matched","n_control_schools_matched","n_treatment_students_matched","n_control_students_matched","avg_n_treatment_per_match","avg_n_control_per_match","ma_ci_lower","ma_ci_upper","ma_ci_contains_0","pim_ci_lower","pim_ci_upper","pim_ci_contains_0","relative_efficiency","ma_avg_time_per_pair","pim_avg_time_per_pair","time_ratio"
"3","glmath","2019","2022",5,0.5,0.03,1,2026,14,4598,4699,4598,141,4558,0.0442746722460646,141,141,11766,9670,2.12152902993148,1.74359899026325,-0.00316872264159503,0.00637664168237294,TRUE,-0.0316224787390359,0.000638884705909427,TRUE,11.4230063316747,0.00442646555076575,0.0628512924190472,14.1989792303194
"3","readng","2019","2022",5,0.5,0.03,1,2026,14,4598,4699,4598,141,4558,0.0443123182639356,141,141,11766,8854,2.25100440022958,1.69389707289076,-0.011154116978987,0.000512508686886101,TRUE,-0.0250762565046162,0.00195376526072991,TRUE,5.3678733942196,0.00459010219034129,0.061900813018739,13.4857156664167
"4","glmath","2019","2022",5,0.5,0.03,1,2026,14,4577,4671,4577,140,4531,0.0308589972021611,140,140,10740,10946,1.60011918951132,1.630810488677,0.000779062526116508,0.00958909390588861,FALSE,-0.0406623402163651,-0.0138184260461018,FALSE,9.28403507417629,0.00363945540419051,0.065322241832905,17.9483561627633
"4","readng","2019","2022",5,0.5,0.03,1,2026,14,4577,4671,4577,140,4531,0.0281835505815281,140,140,10740,10907,1.58360365673843,1.6082276614568,0.00153063301127614,0.00787532904010215,FALSE,-0.0321804962807895,-0.0130741327606634,FALSE,9.06847860379242,0.00365708042868157,0.0652896211799563,17.8529355460455
"5","glmath","2019","2022",5,0.5,0.03,1,2026,14,4345,4447,4345,133,4314,0.0315889663611625,133,133,10401,9876,1.69923215160921,1.61346185263846,-0.000931496543363025,0.00865821867114966,TRUE,-0.0413337881036748,-0.0131514302936284,FALSE,8.63660840869301,0.00392883594912359,0.0677175969752333,17.2360459566501
"5","readng","2019","2022",5,0.5,0.03,1,2026,14,4345,4447,4345,133,4314,0.0228867913260546,133,133,10401,9858,1.64598828928628,1.56005697103972,-0.00382494655023713,0.00342313308048913,TRUE,-0.0349760026742419,-0.0124675502516369,FALSE,9.6437370401449,0.00388712495899193,0.0690035813001393,17.7518299586732
